"subj","vign","condition","cause","knowledge","norm"
"R_1PTyJyKQcEUiuuQ",9,"RKB",5,"Knowledge","Rationality"
"R_8qVN23Q1GhwxtRv",9,"RKB",5,"Knowledge","Rationality"
"R_3qpzfYjYEBvysnh",9,"RKB",6,"Knowledge","Rationality"
"R_vxBGd6vfvtHapsl",9,"RKB",7,"Knowledge","Rationality"
"R_3dGnkoBl0BCW4wr",9,"RKB",4,"Knowledge","Rationality"
"R_1g1jxYRliuLSNIS",9,"RKB",7,"Knowledge","Rationality"
"R_dgtQrUW08Tx0Y8N",9,"RKB",7,"Knowledge","Rationality"
"R_2rZ10M50CWZ1eoq",9,"RKB",3,"Knowledge","Rationality"
"R_3gY1SdxVLpmfmir",9,"RKB",6,"Knowledge","Rationality"
"R_2P6F8vn4Tutz9m2",9,"RKB",3,"Knowledge","Rationality"
"R_1QuZ05DZ060dABH",9,"RKB",5,"Knowledge","Rationality"
"R_3KNNILeE3ut0kNj",9,"RKB",7,"Knowledge","Rationality"
"R_0Gs5KrwpxaE2AQF",9,"RKB",4,"Knowledge","Rationality"
"R_yWjT3ClYfKtwXHr",9,"RKB",6,"Knowledge","Rationality"
"R_cIR19O6YM6BpoWd",9,"RKB",7,"Knowledge","Rationality"
"R_wOdSQUqwdK4bScp",9,"RKB",4,"Knowledge","Rationality"
"R_2TtsbgTKwKK9wIO",10,"RKB",6,"Knowledge","Rationality"
"R_25H4qxjzbWJocXI",10,"RKB",6,"Knowledge","Rationality"
"R_2CQattCDouu6rte",10,"RKB",5,"Knowledge","Rationality"
"R_12RQRhgLfJM83Iu",10,"RKB",2,"Knowledge","Rationality"
"R_3G6V3MGevsXnxQw",10,"RKB",6,"Knowledge","Rationality"
"R_1PYrsTeyCWH15u3",10,"RKB",6,"Knowledge","Rationality"
"R_O2a0beWlpnkeBB7",10,"RKB",7,"Knowledge","Rationality"
"R_3qlY7YuOtTmlnqw",10,"RKB",2,"Knowledge","Rationality"
"R_bIu9gF3RB8CTtXr",10,"RKB",6,"Knowledge","Rationality"
"R_1BXFBu0qAEwfd17",10,"RKB",3,"Knowledge","Rationality"
"R_siIbJwoMNFAmf9D",10,"RKB",7,"Knowledge","Rationality"
"R_1Kp8ZVRR3w3y8ob",10,"RKB",5,"Knowledge","Rationality"
"R_3pcjNaakc9DEkuH",10,"RKB",6,"Knowledge","Rationality"
"R_1jP2knP7Vljlk60",10,"RKB",4,"Knowledge","Rationality"
"R_3oT6ZoaUWgal8UH",10,"RKB",4,"Knowledge","Rationality"
"R_3Ebvsl7XtlhzQWB",10,"RKB",6,"Knowledge","Rationality"
"R_bmzXOsLePOIJIbf",10,"RKB",1,"Knowledge","Rationality"
"R_1KvGzRty5iYhjlc",10,"RKB",2,"Knowledge","Rationality"
"R_qPGNLL5ULlYc0Ip",10,"RKB",4,"Knowledge","Rationality"
"R_1cRJTBNGcC96v7X",10,"RKB",4,"Knowledge","Rationality"
