"subj","distal","proximal","moral","time","vign","outcome","agent"
"R_ac1GTf8pZ7BC0IY","7","7","7","75.51","Russia","bad","Knowledge"
"R_1QRAsQFMaBLCIYc","7","6","7","58.754","Russia","bad","Knowledge"
"R_7NDaAAngQRrIbt2","7","7","7","89.347","Construction","bad","Knowledge"
"R_ewWN3lVUBmab0cQ","6","6","6","56.652","Construction","bad","Knowledge"
"R_9vQ1kgheXBZp8LW","6","6","6","63.561","Construction","bad","Knowledge"
"R_71G2aNXAkSNgQSM","6","6","6","6.245","Construction","bad","Knowledge"
"R_1M8X95L9MdEgXti","6","6","6","46.473","Construction","bad","Knowledge"
"R_bjiCslx8ncr64JK","7","7","7","54.354","Construction","bad","Knowledge"
"R_cJbZ5LvPuX3l2ny","7","7","7","54.982","Construction","bad","Knowledge"
"R_bj6eXNkdFWfJXc8","7","7","7","60.486","Construction","bad","Knowledge"
"R_5Ay9XKzBy8OWD40","6","7","6","41.342","Construction","bad","Knowledge"
"R_9TY5IhFghrwcnt2","6","4","5","53.078","Construction","bad","Knowledge"
"R_6gpvHfNrmaLIddW","2","2","5","87.143","Construction","bad","Knowledge"
"R_9nUolFZxbDVfJnC","5","7","7","34.044","Construction","bad","Knowledge"
"R_50YW9iVI7LIvjc8","7","3","7","42.775","Construction","bad","Knowledge"
"R_6yFoq83iFgSxKvi","5","5","6","53.737","Construction","bad","Knowledge"
"R_8odA8FStg0OhPRG","7","7","7","140.982","Construction","bad","Knowledge"
"R_879ef8wbjczw6R6","6","6","7","11.558","Construction","bad","Knowledge"
"R_cTlyLy7BC00vdje","6","6","6","84.432","Construction","bad","Knowledge"
"R_ac1GTf8pZ7BC0IY","7","7","7","38.419","Construction","bad","Knowledge"
"R_1QRAsQFMaBLCIYc","7","6","7","57.348","Construction","bad","Knowledge"
"R_enicQ28piFuifqI","6","6","5","52.103","Farmer","bad","Ignorance"
"R_3BN9jUXvnI2vqvi","7","7","6","26.278","Farmer","bad","Ignorance"
"R_9BwE28g5A9gjJL6","5","7","2","47.589","Farmer","bad","Ignorance"
"R_5ARyiwm8bp2BeNS","6","6","6","21.227","Farmer","bad","Ignorance"
"R_aWBRk5sRMvS7gVe","1","7","1","46.405","Farmer","bad","Ignorance"
"R_efkUI4afpyqIms4","5","6","5","8.045","Farmer","bad","Ignorance"
"R_a5W257IcwPwwvUU","7","6","4","59.234","Farmer","bad","Ignorance"
"R_9tyc0MBjeUsUwCM","5","5","5","59.52","Farmer","bad","Ignorance"
"R_eQZKfubcodf1GF6","7","7","7","47.384","Farmer","bad","Ignorance"
"R_896Nv5RUgGc6R7e","6","6","6","43.493","Farmer","bad","Ignorance"
"R_bKHHmYtDafOkyYQ","6","7","7","48.704","Farmer","bad","Ignorance"
"R_a9GSRgWi9Tvpclm","5","4","4","33.219","Farmer","bad","Ignorance"
"R_bvnWO7S9tZppLlG","6","1","6","16.248","Farmer","bad","Ignorance"
"R_5oq3DLWUzBQ3N7C","7","7","6","82.662","Farmer","bad","Ignorance"
"R_4PHcgnmiGVuBylK","4","5","4","365.762","Farmer","bad","Ignorance"
"R_aWcSWisp6RnPzBG","4","5","4","122.458","Farmer","bad","Ignorance"
"R_1I8UypWMMwllxbe","4","6","5","249.82","Farmer","bad","Ignorance"
"R_1ZafFRndtoBGVhy","2","6","3","18.18","Farmer","bad","Ignorance"
"R_bEMwMvjY3Ag7pD6","4","5","4","62.284","Farmer","bad","Ignorance"
"R_etIq277AzgfYtne","5","5","5","35.861","Farmer","bad","Ignorance"
"R_5gyNRgSgwbD4G1e","4","4","3","47.084","Farmer","bad","Ignorance"
"R_abD9DuiQI6pTPRG","6","7","3","69.671","Farmer","bad","Ignorance"
"R_enicQ28piFuifqI","6","5","6","57.292","Russia","bad","Ignorance"
"R_3BN9jUXvnI2vqvi","7","7","7","49.641","Russia","bad","Ignorance"
"R_9BwE28g5A9gjJL6","3","6","2","55.021","Russia","bad","Ignorance"
"R_5ARyiwm8bp2BeNS","7","6","7","33.541","Russia","bad","Ignorance"
"R_aWBRk5sRMvS7gVe","2","4","3","62.483","Russia","bad","Ignorance"
"R_efkUI4afpyqIms4","5","3","5","8.406","Russia","bad","Ignorance"
"R_a5W257IcwPwwvUU","7","7","7","42.526","Russia","bad","Ignorance"
"R_9tyc0MBjeUsUwCM","4","6","4","12.311","Russia","bad","Ignorance"
"R_eQZKfubcodf1GF6","5","5","5","62.138","Russia","bad","Ignorance"
